,Unnamed: 0,Unnamed: 0.1,id,created_at,original_text,clean_text,polarity,subjectivity,favorite_count,retweet_count,possibly_sensitive,hashtags,user_mentions,place,sentiment,sentimentScore,,HandMade
178,186,8,1.3029E+18,Mon Sep 07 09:05:46 +0000 2020,"#WorldCleanAirDay What has been your contribution to #StareDownOnPollution especially #AirPollution 
Take #Sustainable Action today #Cycling @SustyVibes https://t.co/htFqQ8wAlP",What contribution especially Take Action today,0.05,0.55,1,2,FALSE,"WorldCleanAirDay, StareDownOnPollution, AirPollution, Sustainable, Cycling",SustyVibes,"Lagos, Nigeria",POSITIVE,[0.93619096],,FALSE
154,161,58,1.25038E+18,Wed Apr 15 11:17:12 +0000 2020,Interesting water bird @kwskenya  please help identify ..  #natureishealing https://t.co/9bg0hxRGio,Interesting water bird please help identify ..,0.5,0.5,2,0,FALSE,natureishealing,kwskenya,Membley Estate,POSITIVE,[0.8709376],,TRUE
25,27,27,1.2009E+18,Sat Nov 30 22:12:20 +0000 2019,"Getting some fresh air and enjoying the sea breeze. 
#freshair
#seabreeze @ V&amp;A Waterfront https://t.co/dQnIyu0Qvo",Getting fresh air enjoying sea breeze V amp A Waterfront,0.4,0.55,1,0,FALSE,"freshair, seabreeze",,"Mitchell's Plain, South Africa",POSITIVE,[0.9677097],,TRUE
35,37,37,1.20647E+18,Mon Dec 16 06:51:08 +0000 2019,"What a day ... and it’s a holiday,  so happiness indeed!!💫🙌 
.
.
.
#blueskies #december #holidays #beachlife #mylife #gratitude @ Ohana Cafe https://t.co/XhmXA4qJFX",What day ... ’ holiday happiness indeed Ohana Cafe,0.7,0.2,0,0,FALSE,"blueskies, december, holidays, beachlife, mylife, gratitude",,"Cape Town, South Africa",POSITIVE,[0.9425787],,TRUE
160,168,65,1.28485E+18,Sun Jul 19 14:07:03 +0000 2020,"New UK rules ""allow international students to live and work in Britain for up two years after completing a Master’s, or three years after a PhD."" https://t.co/F9eZlUInr6",New UK rules `` allow international students live work Britain two years completing Master ’ three years PhD '',0.090909091,0.318181818,5,3,FALSE,,,"Paris, France",POSITIVE,[0.85074043],,TRUE
17,18,18,1.20148E+18,Mon Dec 02 12:18:13 +0000 2019,"#beatairpollution challenge
Join the quest https://t.co/FwqmMqPY3s",challenge Join quest,0,0,1,1,FALSE,beatairpollution,,"Ikeja, Nigeria",POSITIVE,[0.9663887],,FALSE
6,6,6,1.24128E+18,Sat Mar 21 08:40:45 +0000 2020,"Forests cover 30% of the Earth’s surface. 

Forests and trees store carbon, which helps mitigate the impacts of climate change in and around urban areas.

🌳 also improve the local climate, helping to save energy used for heating by 20-50 percent. #IntForestDay #BetterWithForests",Forests cover 30 Earth ’ surface Forests trees store carbon helps mitigate impacts climate change around urban areas also improve local climate helping save energy used heating 20-50 percent,0,0,10,4,,"IntForestDay, BetterWithForests",,"Lagos, Nigeria",POSITIVE,[0.7367847],,FALSE
106,110,7,1.27621E+18,Thu Jun 25 18:02:24 +0000 2020,"GREY BORDER FABRIC 
LENGHT BY 60
BALL DRESS STYLE INSPIRATION 

#fashionista #lagosboutique #african #follow #ankarafashion #nigerianwomen #naijafashiondaily #ankara #freshair #nigerianweddings  #nigerianbusiness… https://t.co/GlFEOlGmyp",GREY BORDER FABRIC LENGHT BY 60 BALL DRESS STYLE INSPIRATION …,-0.05,0.1,0,0,FALSE,"fashionista, lagosboutique, african, follow, ankarafashion, nigerianwomen, naijafashiondaily, ankara, freshair, nigerianweddings, nigerianbusiness",,"Lagos, Nigeria",POSITIVE,[0.8604803],,FALSE
1,1,1,1.20047E+18,Fri Nov 29 17:38:57 +0000 2019,Get the required information and knowledge about #AirPollution in #Nigeria Thank you @Cylexi for the thread #StareDownOnPollution #BeatAirPollution #SustyFacts #SustyFriday #SOTSOnDuty https://t.co/gNk0lPpz7U,Get required information knowledge Thank thread,0,0,0,1,FALSE,"AirPollution, Nigeria, StareDownOnPollution, BeatAirPollution, SustyFacts, SustyFriday, SOTSOnDuty",cylexi,"Lagos, Nigeria",POSITIVE,[0.9850148],,FALSE
239,248,70,1.30288E+18,Mon Sep 07 08:09:45 +0000 2020,"On this first World #CleanAir Day, am excited to announce that through the efforts of @subu_caps #Accra now has a reference grade NO2 monitor @GhanaAQ @alfelix123 @CleanAirJ https://t.co/gaMUdYHYNJ",On first World Day excited announce efforts reference grade NO2 monitor,0.3125,0.541666667,40,9,FALSE,"CleanAir, Accra","subu_caps, GhanaAQ, alfelix123, CleanAirJ","Central, Ghana",POSITIVE,[0.9291985],,TRUE
271,281,103,1.30298E+18,Mon Sep 07 14:29:22 +0000 2020,"Love this. PLS automation should seriously taken into consideration. apart from air pollution reduction, PLS will solve one of major problems public transport has today like travel time. Promotion deserved.  #CleanAirForAll https://t.co/X8i6oYj4p7",Love PLS automation seriously taken consideration apart air pollution reduction PLS solve one major problems public transport today like travel time Promotion deserved,0.057291667,0.458333333,1,0,FALSE,CleanAirForAll,,Rwanda,POSITIVE,[0.7315722],,TRUE
241,250,72,1.30292E+18,Mon Sep 07 10:24:57 +0000 2020,"Air Pollution is responsible for approximately 7 million deaths annually around the world. 
Everyone deserves a breath of Fresh,Clean air!👏👏👏👏

#WorldCleanAirDay https://t.co/rK170Cy7fj",Air Pollution responsible approximately 7 million deaths annually around world Everyone deserves breath Fresh Clean air,0.116666667,0.5875,2,0,FALSE,WorldCleanAirDay,,"Accra, Ghana",POSITIVE,[0.8603769],,FALSE
61,63,63,1.19561E+18,Sat Nov 16 07:32:39 +0000 2019,Our 11 sensor deployments on display. The momentum this @GhanaAQ project is gathering in it's short lifespan is mind blowing. A big thank you to our collaborators and partners @darbyjack @subu_caps @jksmith34 @pallavipnt @CleanAir1ATM Together we #BeatAirPollution https://t.co/YOOULuc5EZ,Our 11 sensor deployments display The momentum project gathering 's short lifespan mind blowing A big thank collaborators partners Together,0,0.2,39,12,FALSE,BeatAirPollution,"GhanaAQ, darbyjack, subu_caps, jksmith34, pallavipnt","Central, Ghana",POSITIVE,[0.92966163],,TRUE
129,135,32,1.2511E+18,Fri Apr 17 10:40:04 +0000 2020,Taking a break to look up at the sky 🌴⛅ Hope you're all having a good day and staying safe and sane 💙💚 #Day22OfLockdown #StayHome #lovecapetown #blueskies #clouds #palmtrees https://t.co/XrSXHA03XW,Taking break look sky Hope 're good day staying safe sane,0.6,0.55,27,4,FALSE,"Day22OfLockdown, StayHome, lovecapetown, blueskies, clouds, palmtrees",,"Cape Town, South Africa",POSITIVE,[0.92756593],,TRUE
210,218,40,1.31121E+18,Wed Sep 30 07:30:58 +0000 2020,We look forward to seeing where this fantastic South African journalist goes next. She has covered #ClimateChange #AirPollution and more with a clear focus on social justice. All the best @sheree_bega https://t.co/sF2wwQoxw0,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,0.255555556,0.275,2,0,FALSE,"ClimateChange, AirPollution",sheree_bega,,POSITIVE,[0.96642685],,TRUE
89,93,93,1.23658E+18,Sun Mar 08 09:00:36 +0000 2020,Today morning @BeyondZeroKenya running for #Health #beatairpollution with some of the best #WomensDay @FirstLadyKenya @UNEP @SEIresearch @AirQualityKenya https://t.co/C6YTOIkpkA,Today morning running best,1,0.3,11,2,FALSE,"Health, beatairpollution, WomensDay","BeyondZeroKenya, FirstLadyKenya, UNEP, SEIresearch, AirQualityKenya","Nairobi, Kenya",POSITIVE,[0.9450182],,TRUE
32,34,34,1.24072E+18,Thu Mar 19 19:35:02 +0000 2020,"#powerwalks #morningsarethebest #ocean #blueskies #earlybird @ Three Anchor Bay, Western Cape, South Africa https://t.co/kfj7Ei8ruC",Three Anchor Bay Western Cape South Africa,0,0,0,0,FALSE,"powerwalks, morningsarethebest, ocean, blueskies, earlybird",,"Cape Town, South Africa",POSITIVE,[0.84070706],,FALSE
33,35,35,1.22645E+18,Sun Feb 09 10:22:38 +0000 2020,Queens Beach 🏖👑 Cape Town 🌊☀️ #queensbeach #capetown #sea #queenlife #travelmemories #southafrica #sand #blueskies @ Queens Beach https://t.co/AyMzfGVL6U,Queens Beach Cape Town ️ Queens Beach,0,0,0,0,FALSE,"queensbeach, capetown, sea, queenlife, travelmemories, southafrica, sand, blueskies",,"Cape Town, South Africa",POSITIVE,[0.94351184],,FALSE
58,60,60,1.24323E+18,Thu Mar 26 17:53:01 +0000 2020,"See blue skies ...
Perfect photography weather ...but social distancing ...
Covid 19 ...ur moda.
Stay safe everyone 
#day10 #socialdistancing #visualoctopi #blueskies #COVID2019 https://t.co/2rg1OPqzUt",See blue skies ... Perfect photography weather ... social distancing ... Covid 19 ... ur moda Stay safe everyone,0.383333333,0.416666667,1,0,FALSE,"day10, socialdistancing, visualoctopi, blueskies, COVID2019",,race course station,POSITIVE,[0.985739],,FALSE
107,111,8,1.24817E+18,Thu Apr 09 08:26:45 +0000 2020,This would have been a great time to take pictures and shoot some music videos . #LagosSkies #blueskies #LockdownLagos #natureishealing https://t.co/0XN67EUNmW,This would great time take pictures shoot music videos,0.8,0.75,0,1,FALSE,"LagosSkies, blueskies, LockdownLagos, natureishealing",,"Lagos, Nigeria",POSITIVE,[0.9382855],,TRUE
218,226,48,1.31308E+18,Mon Oct 05 11:31:22 +0000 2020,"Matching a contemporary estate’s lavish design, while reducing utility costs with AC innovation
.
https://t.co/KcdNEzv5j7
.
#Fourwaysairconditioning #TheAzure #SamsungDMVHVACtechnology #Invertermid-wallsplits
#HVAC https://t.co/AOOFCB2tQu",Matching contemporary estate ’ lavish design reducing utility costs AC innovation -wallsplits,0.166666667,0.166666667,0,0,FALSE,"Fourwaysairconditioning, TheAzure, SamsungDMVHVACtechnology, Invertermid, HVAC",,,NEUTRAL,[0.6540666],,TRUE
82,85,85,1.20086E+18,Sat Nov 30 19:33:02 +0000 2019,"@crazynairobian0 #KOTWave #KOTLoyals #CloudQoCoolingSystems #HVAC #AirConditioning #HeatingAndCoolingSystems 
For Supply and Installation call +254736797501 https://t.co/AUtIQeGXfs",For Supply Installation call +254736797501,0,0,6,4,FALSE,"KOTWave, KOTLoyals, CloudQoCoolingSystems, HVAC, AirConditioning, HeatingAndCoolingSystems",crazynairobian0,"Nairobi, Kenya",NEUTRAL,[0.6267696],,TRUE
40,42,42,1.2424E+18,Tue Mar 24 10:25:24 +0000 2020,"At my old #neighborhood #adventuretime #freshair before #lockdown @ Weltevredenpark, Gauteng, South Africa https://t.co/CZLbTzePCe",At old Weltevredenpark Gauteng South Africa,0.1,0.2,0,0,FALSE,"neighborhood, adventuretime, freshair, lockdown",,"Roodepoort, South Africa",NEUTRAL,[0.6316321],,TRUE
26,28,28,1.19563E+18,Sat Nov 16 09:09:31 +0000 2019,"#freshair 
#rooftop
#exams @ Unisa - Western Cape Region https://t.co/gOSqP5XVDQ",Unisa Western Cape Region,0,0,1,0,FALSE,"freshair, rooftop, exams",,"Parow, South Africa",NEUTRAL,[0.6098778],,TRUE
62,64,64,1.22841E+18,Fri Feb 14 20:10:13 +0000 2020,"Now is the time to step up local, national, regional and global efforts to tackle #AirPollution and slow down #ClimateChange https://t.co/1VEvEZO2Er",Now time step local national regional global efforts tackle slow,-0.1,0.133333333,0,0,FALSE,"AirPollution, ClimateChange",,"Nairobi, Kenya",NEUTRAL,[0.4730777],,FALSE
272,282,104,1.29924E+18,Fri Aug 28 06:39:14 +0000 2020,"The air we breathe makes me worry about our kids’ health.
While many can notice #Airpollution in #Kampala, very few people care to think about it. There’s urgent need to raise #Awareness among local #Communities for people to understand available data &amp; learn safety measures. https://t.co/xRIvVotb0d",The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,0.3,0.3,17,4,FALSE,"Airpollution, Kampala, Awareness, Communities",,Makindye Military Baracks,NEUTRAL,[0.61338294],,FALSE
238,247,69,1.30288E+18,Mon Sep 07 07:59:35 +0000 2020,"Today is International Day of Clean Air for Blue Skies, simply World #CleanAir Day. We continue through our @GhanaAQ project and leveraging on the potential of low cost air quality sensors to clean the air in urban areas of Ghana.",Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,0.091666667,0.394642857,15,4,,CleanAir,GhanaAQ,"Central, Ghana",NEUTRAL,[0.4984372],,TRUE
126,132,29,1.25103E+18,Fri Apr 17 06:20:52 +0000 2020,"Be aware animals of nature, in two weeks time your 100 year lockdown will commence again #animallover #COVID19 #natureishealing",Be aware animals nature two weeks time 100 year lockdown commence,0.25,0.25,0,0,,"animallover, COVID19, natureishealing",,"Cape Town, South Africa",NEUTRAL,[0.6474672],,TRUE
88,92,92,1.19649E+18,Mon Nov 18 17:55:47 +0000 2019,"Thailand supermarkets you got this. I'm amazed. They now use banana leaves to package some goods instead of plastic bags 
#BeatAirPollution
#environment @ Nairobi, Kenya https://t.co/8Vb46eLUOC",Thailand supermarkets got I 'm amazed They use banana leaves package goods instead plastic bags Nairobi Kenya,0,0,0,0,FALSE,"BeatAirPollution, environment",,"Nairobi, Kenya",NEUTRAL,[0.45857266],,FALSE
270,280,102,1.3029E+18,Mon Sep 07 09:41:27 +0000 2020,Public transport and the automation of public light system are among initiatives that are being promoted by @CityofKigali to reduce air pollution. @PudenceR #CleanAirForAll,Public transport automation public light system among initiatives promoted reduce air pollution,0.133333333,0.277777778,13,3,,CleanAirForAll,"CityofKigali, PudenceR",,NEUTRAL,[0.675475],,TRUE
14,15,15,1.20692E+18,Tue Dec 17 12:56:51 +0000 2019,"If you are in #Lagos. Please ensure to stay hydrated so you don't collapse on the street, Drink plenty of water. #HeatWave #BeatAirPollution",If Please ensure stay hydrated n't collapse street Drink plenty water,0,0,1,0,,"Lagos, HeatWave, BeatAirPollution",,"Lagos, Nigeria",NEUTRAL,[0.4539805],,TRUE
242,251,73,1.30286E+18,Mon Sep 07 06:30:00 +0000 2020,"Today is the first-ever #WorldCleanAirDay!

Clean air is important for health, productivity, the economy and the environment.
With the European Green Deal, we want to cut dangerous emissions and reach a zero-pollution environment for all. Find out how here ↓

#EUGreenDeal",Today first-ever Clean air important health productivity economy environment With European Green Deal want cut dangerous emissions reach zero-pollution environment Find ↓,-0.006666667,0.58,813,372,,"WorldCleanAirDay, EUGreenDeal",,,NEUTRAL,[0.55797327],,TRUE
21,23,23,1.19414E+18,Tue Nov 12 06:14:43 +0000 2019,One idea that stood out was using the smog catching ionizing towers by the Dutch entrepreneur. @narendramodi @AmitShah @ArvindKejriwal     #AirPollution #DelhiAirEmergency https://t.co/dy1xOtnChn,One idea stood using smog catching ionizing towers Dutch entrepreneur,0.6,0.9,0,0,FALSE,"AirPollution, DelhiAirEmergency","narendramodi, AmitShah, ArvindKejriwal","Cape Town, South Africa",NEUTRAL,[0.57824165],,TRUE
78,81,81,1.21928E+18,Mon Jan 20 15:39:50 +0000 2020,"What should be the #1 priority for the @IMOHQ Secretary General as he starts his second term? Cutting shipping #emissions. Read our open letter with civil society organisations:  
 https://t.co/bnoCIGtK0q #ClimateCrisis",What priority Secretary General starts second term Cutting shipping Read open letter civil society organisations,-0.1375,0.475,0,0,FALSE,"emissions, ClimateCrisis",IMOHQ,"Nairobi, Kenya",NEUTRAL,[0.649037],,TRUE
156,163,60,1.25503E+18,Tue Apr 28 06:52:44 +0000 2020,"AIR conditioning... for Heating and Cooling call +254736797501
0736797501 
cc @lindahoguttu
#AirConditioning #CloudQoCoolingSystems #HVAC https://t.co/OcFEAxBFfb",AIR conditioning ... Heating Cooling call +254736797501 0736797501 cc,0,0,2,2,FALSE,"AirConditioning, CloudQoCoolingSystems, HVAC",lindahoguttu,"Nairobi, Kenya",NEUTRAL,[0.5534087],,TRUE
169,177,74,1.28258E+18,Mon Jul 13 07:29:04 +0000 2020,Me upclose to a giraffe @lakemburo #NaturePhotography #naturelovers #naturetherapy #natureishealing #NatureChanelRP #NatureWarriors #NATURE_WORLD #NatureRepublicTH #naturephoto #naturelover #nature #naturephotos @unescoug https://t.co/91YeyajYXI,Me upclose giraffe,0,0,0,0,FALSE,"NaturePhotography, naturelovers, naturetherapy, natureishealing, NatureChanelRP, NatureWarriors, NATURE_WORLD, NatureRepublicTH, naturephoto, naturelover, nature, naturephotos","lakemburo, unescoug","Kampala, Uganda",NEUTRAL,[0.6748945],,TRUE
177,185,7,1.31379E+18,Wed Oct 07 10:18:25 +0000 2020,"EnvironQuest provides the latest technology for air quality monitoring, as well as measuring atmospheric weather conditions relevant to estimating, and forecasting air quality considering all pollutants.

#EnvironQuest #airquality #airqualitymonitoring #airpollution https://t.co/KG5lc9oHd3",EnvironQuest provides latest technology air quality monitoring well measuring atmospheric weather conditions relevant estimating forecasting air quality considering pollutants,0.3,0.6,2,1,FALSE,"EnvironQuest, airquality, airqualitymonitoring, airpollution",,,NEUTRAL,[0.61790305],,TRUE
81,84,84,1.22935E+18,Mon Feb 17 10:09:12 +0000 2020,"On-going Turkish HVAC-R ( Heating, Ventilation, Air Conditioning &amp; Refrigeration B2B meetings.

#Turkey #HVAC-R #AirConditioning #ISIB #Ventilation #Cooling #ColdRooms #Kenya #B2B #refrigeration #heating https://t.co/usBkvJpLKp",On-going Turkish HVAC-R Heating Ventilation Air Conditioning amp Refrigeration B2B meetings -R,0,0,1,0,FALSE,"Turkey, HVAC, AirConditioning, ISIB, Ventilation, Cooling, ColdRooms, Kenya, B2B, refrigeration, heating",,"Nairobi, Kenya",NEUTRAL,[0.52872103],,TRUE
248,257,79,1.31127E+18,Wed Sep 30 11:59:45 +0000 2020,"#TheJamSession
#FreshAIR
#WCW
#WednesdayVibes
#WednesdayWisdom
#WednesdayThoughts
#WednesdayMotivation
#FinePeopleFromKenya
#BlackLivesMatter
@Dj_Burn
@HomeboyzRadio
@AndyYoung254 @QuellieO @ashleymuthui
LIGHT IT UP
@meme_ed @JoshuaNyati @dennokimg @Kklux @martin_kihara @ckisuke",LIGHT IT UP,0.4,0.7,1,1,,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter","Dj_Burn, HomeboyzRadio, AndyYoung254, QuellieO, ashleymuthui, meme_ed, JoshuaNyati, dennokimg, Kklux, martin_kihara, ckisuke",,NEUTRAL,[0.6926467],,TRUE
87,91,91,1.21932E+18,Mon Jan 20 17:54:54 +0000 2020,"#Rethink your choices
#Refuse single use
#reduce consumption
#reuse everything
#Refurbish old stuff
#repair before you replace
#recycle last option
#ClimateChange #ClimateCrisis @unenvironment @unhabitatyouth #BeatAirPollution @vanessa_vash @MaimunahSharif @NamugerwaLeah https://t.co/DahPxV1eMQ",choices single use consumption everything old stuff replace last option,0.00952381,0.16031746,79,37,FALSE,"Rethink, Refuse, reduce, reuse, Refurbish, repair, recycle, ClimateChange, ClimateCrisis, BeatAirPollution","unhabitatyouth, vanessa_vash, MaimunahSharif, NamugerwaLeah","Nairobi, Kenya",NEUTRAL,[0.55417734],,TRUE
37,39,39,1.21262E+18,Thu Jan 02 06:19:01 +0000 2020,"A W E H  2 0 2 0

#lovecapetown #capetown #southafrica #observatory #graffiti #streetsofcapetown #streetart #thisissouthafrica #explorecapetown #beaches #seaviews #frommyfingertips #sunsets #skyviews #blueskies… https://t.co/sUec4TI2rt",A W E H 2 0 2 0 …,0,0,0,1,FALSE,"lovecapetown, capetown, southafrica, observatory, graffiti, streetsofcapetown, streetart, thisissouthafrica, explorecapetown, beaches, seaviews, frommyfingertips, sunsets, skyviews, blueskies",,"Cape Town, South Africa",NEUTRAL,[0.6957509],,TRUE
57,59,59,1.1938E+18,Mon Nov 11 07:44:58 +0000 2019,"Over the Atlantic, heading home. 
#TheOtherJob #traveltheworld #scenery #sceneryporn #scenic #landscape #SamsungS8 #travel #adventure #blueskies #aviation #instaplane #instaaviation #flying #avgeek #Instagramaviation… https://t.co/Um1I5ycktB",Over Atlantic heading home …,0,0,2,1,FALSE,"TheOtherJob, traveltheworld, scenery, sceneryporn, scenic, landscape, SamsungS8, travel, adventure, blueskies, aviation, instaplane, instaaviation, flying, avgeek, Instagramaviation",,"Greater Accra, Ghana",NEUTRAL,[0.52457255],,TRUE
135,141,38,1.25798E+18,Wed May 06 10:17:48 +0000 2020,"On a road to nowhere......

#mtb #mtblife #mtblifestyle #cannondale #cannondalemtb #lockdown #lockdownsa #sun #freshair with a mask! @ Edenvale, Gauteng, South Africa https://t.co/pxDsSYJlWD",On road nowhere ... ... mask Edenvale Gauteng South Africa,0,0,0,1,FALSE,"mtb, mtblife, mtblifestyle, cannondale, cannondalemtb, lockdown, lockdownsa, sun, freshair",,"Edenvale, South Africa",NEUTRAL,[0.49355596],,TRUE
38,40,40,1.24031E+18,Wed Mar 18 15:57:45 +0000 2020,sail away... #powerwalks #earlybird #liveinthemoment #ocean #blueskies #summer #capetown • sound⏫ @ Mouille Point Promenade https://t.co/BJNgwCfduT,sail away ... • sound⏫ Mouille Point Promenade,0,0,0,0,FALSE,"powerwalks, earlybird, liveinthemoment, ocean, blueskies, summer, capetown",,"Cape Town, South Africa",NEUTRAL,[0.65755445],,TRUE
153,160,57,1.27541E+18,Tue Jun 23 12:45:53 +0000 2020,"Happening now! First virtual meeting of the @UNEP 2020 #emissions Gap Report w/ the Steering Committee, lead authors, @UNEPDTU and partners! Assessing#GHG #emissions in the pre-#COVID and current world to inform #ClimateChange talks! @nlenvironagency @andersen_inger @JoyceMsuya https://t.co/IORuUdpVLE",Happening First virtual meeting 2020 Gap Report w/ Steering Committee lead authors partners Assessing pre- current world inform talks,0.125,0.366666667,25,1,FALSE,"emissions, emissions, COVID, ClimateChange","UNEP, UNEPDTU, nlenvironagency, andersen_inger, JoyceMsuya",Runda Estate,NEUTRAL,[0.68773484],,TRUE
121,126,23,1.24894E+18,Sat Apr 11 11:35:15 +0000 2020,Just a regular software engineer on the job. #lockdownlife #work #play #freshair https://t.co/Xoi9DlPC0z https://t.co/6T04bBvw3e,Just regular software engineer job,0,0.076923077,36,0,FALSE,"lockdownlife, work, play, freshair",,"Cape Town, South Africa",NEUTRAL,[0.50891876],,TRUE
44,46,46,1.19852E+18,Sun Nov 24 08:32:10 +0000 2019,#bluesky #blueskies #tb #swaziland #nhlangano #home @ Johannesburg https://t.co/2epmCekeVr,Johannesburg,0,0,0,0,FALSE,"bluesky, blueskies, tb, swaziland, nhlangano, home",,"Johannesburg, South Africa",NEUTRAL,[0.59381026],,TRUE
